Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,23034,1985,12,30.4,Y
IDCJAC0001,23034,1986,01,11.2,Y
IDCJAC0001,23034,1986,02,0.6,Y
IDCJAC0001,23034,1986,03,0.2,Y
IDCJAC0001,23034,1986,04,42.6,Y
IDCJAC0001,23034,1986,05,44.2,Y
IDCJAC0001,23034,1986,06,35.2,Y
IDCJAC0001,23034,1986,07,116.4,Y
IDCJAC0001,23034,1986,08,85.2,Y
IDCJAC0001,23034,1986,09,51.2,Y
IDCJAC0001,23034,1986,10,50.8,Y
IDCJAC0001,23034,1986,11,15.0,Y
IDCJAC0001,23034,1986,12,28.0,Y
IDCJAC0001,23034,1987,01,19.6,Y
IDCJAC0001,23034,1987,02,40.8,Y
IDCJAC0001,23034,1987,03,25.0,Y
IDCJAC0001,23034,1987,04,16.2,Y
IDCJAC0001,23034,1987,05,110.0,Y
IDCJAC0001,23034,1987,06,68.6,Y
IDCJAC0001,23034,1987,07,112.2,Y
IDCJAC0001,23034,1987,08,23.2,Y
IDCJAC0001,23034,1987,09,15.0,Y
IDCJAC0001,23034,1987,10,42.0,Y
IDCJAC0001,23034,1987,11,2.8,Y
IDCJAC0001,23034,1987,12,35.0,Y
IDCJAC0001,23034,1988,01,24.6,Y
IDCJAC0001,23034,1988,02,12.0,Y
IDCJAC0001,23034,1988,03,23.8,Y
IDCJAC0001,23034,1988,04,12.0,Y
IDCJAC0001,23034,1988,05,68.4,Y
IDCJAC0001,23034,1988,06,81.6,Y
IDCJAC0001,23034,1988,07,55.6,Y
IDCJAC0001,23034,1988,08,33.0,Y
IDCJAC0001,23034,1988,09,46.0,Y
IDCJAC0001,23034,1988,10,10.8,Y
IDCJAC0001,23034,1988,11,26.2,Y
IDCJAC0001,23034,1988,12,47.6,Y
IDCJAC0001,23034,1989,01,2.4,Y
IDCJAC0001,23034,1989,02,1.8,Y
IDCJAC0001,23034,1989,03,1.8,Y
IDCJAC0001,23034,1989,04,30.4,Y
IDCJAC0001,23034,1989,05,87.2,Y
IDCJAC0001,23034,1989,06,65.0,Y
IDCJAC0001,23034,1989,07,69.8,Y
IDCJAC0001,23034,1989,08,49.0,Y
IDCJAC0001,23034,1989,09,36.2,Y
IDCJAC0001,23034,1989,10,29.4,Y
IDCJAC0001,23034,1989,11,21.2,Y
IDCJAC0001,23034,1989,12,9.2,Y
IDCJAC0001,23034,1990,01,10.4,Y
IDCJAC0001,23034,1990,02,8.2,Y
IDCJAC0001,23034,1990,03,1.2,Y
IDCJAC0001,23034,1990,04,7.8,Y
IDCJAC0001,23034,1990,05,8.8,Y
IDCJAC0001,23034,1990,06,69.8,Y
IDCJAC0001,23034,1990,07,89.8,Y
IDCJAC0001,23034,1990,08,66.4,Y
IDCJAC0001,23034,1990,09,38.4,Y
IDCJAC0001,23034,1990,10,28.4,Y
IDCJAC0001,23034,1990,11,5.6,Y
IDCJAC0001,23034,1990,12,40.4,Y
IDCJAC0001,23034,1991,01,23.0,Y
IDCJAC0001,23034,1991,02,0.0,Y
IDCJAC0001,23034,1991,03,4.4,Y
IDCJAC0001,23034,1991,04,28.0,Y
IDCJAC0001,23034,1991,05,13.0,Y
IDCJAC0001,23034,1991,06,95.6,Y
IDCJAC0001,23034,1991,07,68.2,Y
IDCJAC0001,23034,1991,08,59.4,Y
IDCJAC0001,23034,1991,09,69.0,Y
IDCJAC0001,23034,1991,10,6.8,Y
IDCJAC0001,23034,1991,11,24.6,Y
IDCJAC0001,23034,1991,12,5.6,Y
IDCJAC0001,23034,1992,01,0.6,Y
IDCJAC0001,23034,1992,02,12.2,Y
IDCJAC0001,23034,1992,03,63.0,Y
IDCJAC0001,23034,1992,04,38.8,Y
IDCJAC0001,23034,1992,05,67.6,Y
IDCJAC0001,23034,1992,06,57.2,Y
IDCJAC0001,23034,1992,07,42.8,Y
IDCJAC0001,23034,1992,08,103.8,Y
IDCJAC0001,23034,1992,09,113.6,Y
IDCJAC0001,23034,1992,10,74.8,Y
IDCJAC0001,23034,1992,11,66.0,Y
IDCJAC0001,23034,1992,12,90.4,Y
IDCJAC0001,23034,1993,01,31.2,Y
IDCJAC0001,23034,1993,02,14.8,Y
IDCJAC0001,23034,1993,03,18.4,Y
IDCJAC0001,23034,1993,04,0.8,Y
IDCJAC0001,23034,1993,05,40.2,Y
IDCJAC0001,23034,1993,06,35.2,Y
IDCJAC0001,23034,1993,07,54.2,Y
IDCJAC0001,23034,1993,08,43.8,Y
IDCJAC0001,23034,1993,09,60.4,Y
IDCJAC0001,23034,1993,10,77.2,Y
IDCJAC0001,23034,1993,11,23.6,Y
IDCJAC0001,23034,1993,12,89.8,Y
IDCJAC0001,23034,1994,01,28.6,Y
IDCJAC0001,23034,1994,02,18.4,Y
IDCJAC0001,23034,1994,03,0.0,Y
IDCJAC0001,23034,1994,04,8.4,Y
IDCJAC0001,23034,1994,05,32.8,Y
IDCJAC0001,23034,1994,06,73.2,Y
IDCJAC0001,23034,1994,07,42.6,N
IDCJAC0001,23034,1994,08,14.6,Y
IDCJAC0001,23034,1994,09,21.4,Y
IDCJAC0001,23034,1994,10,49.8,Y
IDCJAC0001,23034,1994,11,27.0,Y
IDCJAC0001,23034,1994,12,9.8,Y
IDCJAC0001,23034,1995,01,15.0,Y
IDCJAC0001,23034,1995,02,25.2,Y
IDCJAC0001,23034,1995,03,15.0,Y
IDCJAC0001,23034,1995,04,57.2,Y
IDCJAC0001,23034,1995,05,61.2,Y
IDCJAC0001,23034,1995,06,47.0,Y
IDCJAC0001,23034,1995,07,103.2,Y
IDCJAC0001,23034,1995,08,26.6,Y
IDCJAC0001,23034,1995,09,36.4,Y
IDCJAC0001,23034,1995,10,19.0,Y
IDCJAC0001,23034,1995,11,6.8,Y
IDCJAC0001,23034,1995,12,7.8,Y
IDCJAC0001,23034,1996,01,41.0,Y
IDCJAC0001,23034,1996,02,19.6,Y
IDCJAC0001,23034,1996,03,18.8,Y
IDCJAC0001,23034,1996,04,24.6,Y
IDCJAC0001,23034,1996,05,11.4,Y
IDCJAC0001,23034,1996,06,91.8,Y
IDCJAC0001,23034,1996,07,82.6,Y
IDCJAC0001,23034,1996,08,87.2,Y
IDCJAC0001,23034,1996,09,65.8,Y
IDCJAC0001,23034,1996,10,19.0,Y
IDCJAC0001,23034,1996,11,1.8,Y
IDCJAC0001,23034,1996,12,14.2,Y
IDCJAC0001,23034,1997,01,46.4,Y
IDCJAC0001,23034,1997,02,25.6,Y
IDCJAC0001,23034,1997,03,4.2,Y
IDCJAC0001,23034,1997,04,5.2,Y
IDCJAC0001,23034,1997,05,55.0,Y
IDCJAC0001,23034,1997,06,30.2,Y
IDCJAC0001,23034,1997,07,18.4,Y
IDCJAC0001,23034,1997,08,79.0,Y
IDCJAC0001,23034,1997,09,72.6,Y
IDCJAC0001,23034,1997,10,69.4,Y
IDCJAC0001,23034,1997,11,44.4,Y
IDCJAC0001,23034,1997,12,18.2,Y
IDCJAC0001,23034,1998,01,7.0,Y
IDCJAC0001,23034,1998,02,20.4,Y
IDCJAC0001,23034,1998,03,8.8,Y
IDCJAC0001,23034,1998,04,95.2,Y
IDCJAC0001,23034,1998,05,26.2,Y
IDCJAC0001,23034,1998,06,74.4,Y
IDCJAC0001,23034,1998,07,44.8,Y
IDCJAC0001,23034,1998,08,44.6,Y
IDCJAC0001,23034,1998,09,49.4,Y
IDCJAC0001,23034,1998,10,43.8,Y
